,0,1,2
0,1179730204001996800,2019-10-03 12:09:33,b'Schiff is a lowlife who should resign (at least!). https://t.co/nGp9aFP3rX'
1,1179729579239448582,2019-10-03 12:07:04,b'RT @TrumpWarRoom: NBC News reports that Hunter Biden met with a Chinese banker while joining then-VP Joe Biden\xe2\x80\x99s official 2013 trip to Chin\xe2\x80\xa6'
2,1179729271620849664,2019-10-03 12:05:51,b'RT @replouiegohmert: Honored heroic wounded warriors today at an event hosted by All Saints Episcopal School in #TX01. God bless our troops\xe2\x80\xa6'
3,1179724760722345984,2019-10-03 11:47:55,"b'RT @RichLowry: Excited to share that my new book, \xe2\x80\x9cThe Case for Nationalism: How It Made Us Powerful, United, and Free\xe2\x80\x9d will be out Novembe\xe2\x80\xa6'"
4,1179723972407103489,2019-10-03 11:44:47,"b'RT @DavidAFrench: Biden\xe2\x80\x99s gun plan? It could destroy the gun industry for selling lawful, constitutionally-protected products and impair Am\xe2\x80\xa6'"
5,1179722829010538496,2019-10-03 11:40:15,b'RT @AndrewCMcCarthy: Do Republicans See the Strategy to Discredit the Barr Investigation? - my @NRO column from yesterday: https://t.co/cZO\xe2\x80\xa6'
6,1179722195288907776,2019-10-03 11:37:44,"b""RT @ByronYork: So State Department inspector general asks for 'urgent' briefing on Capitol Hill. Trump and Ukraine! Then admits he's had 'u\xe2\x80\xa6"""
7,1179721857441902593,2019-10-03 11:36:23,b'Schiff is a lying disaster for our Country. He should resign! https://t.co/ytwEy5NasJ'
8,1179721004291170304,2019-10-03 11:33:00,b'The Republican Party has never had such support! https://t.co/P6GHgBv3v9'
9,1179720723969052672,2019-10-03 11:31:53,b'Book is doing really well. A study in unfairness to a potentially great Justice! https://t.co/i6GwghuEsU'
10,1179720222351269888,2019-10-03 11:29:53,b'Thank you Hugh! https://t.co/So77AMeK5u'
11,1179719951881576448,2019-10-03 11:28:49,b'A great book by a brilliant author. Buy it now! https://t.co/L8XC5Nnj4N'
12,1179719218503323650,2019-10-03 11:25:54,b'RT @DevinNunes: \xf0\x9f\x98\xb3 Very convenient... https://t.co/Cb99Tg3XCG'
13,1179718984901505025,2019-10-03 11:24:58,b'RT @DevinNunes: Must watch before any Dem press conferences...all you need to know.  https://t.co/fz9gtRd37u'
14,1179718758207819777,2019-10-03 11:24:04,b'RT @govtrack: Duplication Scoring Act from @RandPaul and @RepMarkMeadows would help prevent new laws or programs that accidentally duplicat\xe2\x80\xa6'
15,1179718467060211713,2019-10-03 11:22:55,b'Great job Richard! https://t.co/Uv8xgZPshu'
16,1179710734030249984,2019-10-03 10:52:11,b'Keep up the great work Kellie! https://t.co/PcAnK009EW'
17,1179709971438669824,2019-10-03 10:49:09,"b""RT @NancyJKoch: Franklin Graham calls for prayer to 'change hearts' of Democrats - A call to pray for our Nation and its healing\xe2\x9d\xa3\xef\xb8\x8f\xe2\x81\xa6@realDon\xe2\x80\xa6"""
18,1179707468076781568,2019-10-03 10:39:12,"b'RT @JosephStanley82: Biden to trump - ""I am creepy"" https://t.co/zYEtoCqD0m'"
19,1179707050743488512,2019-10-03 10:37:33,b'\xe2\x80\x9cThe Ukraine controversy continues this morning as new documents obtained by @FoxNews show that a former Ukrainian\xe2\x80\xa6 https://t.co/3r7ERtRaou'
20,1179697599143653377,2019-10-03 10:00:00,"b'The U.S. won a $7.5 Billion award from the World Trade Organization against the European Union, who has for many ye\xe2\x80\xa6 https://t.co/SG1RNogrpB'"
21,1179596675280707585,2019-10-03 03:18:57,b'RT @DevinNunes: My statement on the latest fiasco https://t.co/B2lNf6Bb60'
22,1179595472358522881,2019-10-03 03:14:11,b'RT @DanScavino: https://t.co/avMqf5TvoR'
23,1179594584868999168,2019-10-03 03:10:39,"b'RT @IvankaTrump: The Texas Success Story...\nSince the election:\n\xe2\xad\x90\xef\xb8\x8f Employment \xe2\xac\x86\xef\xb8\x8f by 6.4% = 774,000 NEW jobs   \n\xe2\xad\x90\xef\xb8\x8fManufacturing employment\xe2\x80\xa6'"
24,1179594329964400640,2019-10-03 03:09:38,b'RT @DanScavino: https://t.co/84m1xMRsD0 https://t.co/ymvlDLSxci'
25,1179542037479202816,2019-10-02 23:41:51,b'DEMOCRATS WANT TO STEAL THE ELECTION! #KAG2020 https://t.co/hz6fWLId3L'
26,1179538518873448451,2019-10-02 23:27:52,"b'....He loves our Military and supports our Vets! Democrat Jim Hood will never give us his vote, is anti-Trump and p\xe2\x80\xa6 https://t.co/KitOSDLnHh'"
27,1179538517992595458,2019-10-02 23:27:52,"b'Mississippi, there is a VERY important election for Governor on November 5th. I need you to Get Out and Vote for ou\xe2\x80\xa6 https://t.co/tWLM1SYM2d'"
28,1179502966606352386,2019-10-02 21:06:36,b'LOOK AT THIS PHOTOGRAPH! https://t.co/QQYTqG4KTt'
29,1179484176267038721,2019-10-02 19:51:56,"b'\xe2\x80\x9cSchiff, House Intel Chairman, Got Early Account of Whistle-Blower\xe2\x80\x99s Accusations\xe2\x80\x9d \n\nSCHIFF IS A FRAUD!\xe2\x80\xa6 https://t.co/eplnv1eLIF'"
30,1179422987684077568,2019-10-02 15:48:47,"b'The Do Nothing Democrats should be focused on building up our Country, not wasting everyone\xe2\x80\x99s time and energy on BU\xe2\x80\xa6 https://t.co/kpxVx4b2Gy'"
31,1179420554601910272,2019-10-02 15:39:07,"b'Adam Schiff should only be so lucky to have the brains, honor and strength of Secretary of State Mike Pompeo. For a\xe2\x80\xa6 https://t.co/U10wg273nt'"
32,1179418734764711937,2019-10-02 15:31:53,b'Democrats are trying to undo the Election regardless of FACTS! https://t.co/cQ3B1bGD4L'
33,1179418523682168839,2019-10-02 15:31:03,b'Nancy Pelosi just said that she is interested in lowering prescription drug prices &amp; working on the desperately nee\xe2\x80\xa6 https://t.co/NJLUNwWCVn'
34,1179415529074900992,2019-10-02 15:19:09,"b'All of this impeachment nonsense, which is going nowhere, is driving the Stock Market, and your 401K\xe2\x80\x99s, down. But t\xe2\x80\xa6 https://t.co/TzqQ6FDvF8'"
35,1179411261337067520,2019-10-02 15:02:11,"b'Now the press is trying to sell the fact that I wanted a Moat stuffed with alligators and snakes, with an electrifi\xe2\x80\xa6 https://t.co/vzjHlA3wMe'"
36,1179407460756578307,2019-10-02 14:47:05,b'\xe2\x80\x9cNancy Pelosi and the Democrats haven\xe2\x80\x99t met the standards of impeachment. They have to be very careful here.\xe2\x80\x9d Jeanne Zaino. @FoxNews'
37,1179402463805345794,2019-10-02 14:27:14,b'#DONOTHINGDEMS'
38,1179402197093814272,2019-10-02 14:26:10,b'All the Do Nothing Democrats are focused on is Impeaching the President for having a very good conversation with th\xe2\x80\xa6 https://t.co/n1uFNVlDPG'
39,1179399836883394562,2019-10-02 14:16:47,"b'Congressman Adam Schiff should resign for the Crime of, after reading a transcript of my conversation with the Pres\xe2\x80\xa6 https://t.co/SWi7gOq09g'"
40,1179397444091699200,2019-10-02 14:07:17,"b'RT @DailySignal: As the Index of Economic Freedom shows, countries that implement free-market policies enable women to make their own econo\xe2\x80\xa6'"
41,1179397341893271558,2019-10-02 14:06:53,b'RT @MariaBartiromo: Democrats want to stop Barr from investigating what happened in 2016. SPOT ON.  As we have been saying on \xe2\x81\xa6@MorningsMar\xe2\x80\xa6'
42,1179395773580140544,2019-10-02 14:00:39,"b'RT @GOP: HUGE Q3 fundraising numbers thanks to @GOPChairwoman, @parscale, and of course the STRONG enthusiasm behind @realDonaldTrump!\nhttp\xe2\x80\xa6'"
